time,"V(LX|XA4)","I(LX|XA4)"
0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,-4.877431e-05,8.579375e-14
2.000000e-13,-6.377418e-05,1.039502e-13
3.000000e-13,-6.988998e-05,1.198415e-13
4.000000e-13,-7.612601e-05,1.482927e-13
5.000000e-13,-8.309760e-05,1.849081e-13
6.000000e-13,-8.906764e-05,2.250399e-13
7.000000e-13,-9.245132e-05,2.652812e-13
8.000000e-13,-9.246957e-05,3.024397e-13
9.000000e-13,-8.917746e-05,3.330687e-13
1.000000e-12,-8.332240e-05,3.533937e-13
1.100000e-12,-7.613151e-05,2.736173e-13
1.200000e-12,-6.904719e-05,2.435314e-13
1.300000e-12,-6.344081e-05,1.950813e-13
1.400000e-12,-6.035090e-05,1.125107e-13
1.500000e-12,-6.029382e-05,1.550865e-15
1.600000e-12,-6.318115e-05,-1.295714e-13
1.700000e-12,-6.835679e-05,-2.720673e-13
1.800000e-12,-7.474285e-05,-4.158862e-13
1.900000e-12,-8.106252e-05,-5.488558e-13
2.000000e-12,-8.609417e-05,-6.554163e-13
2.100000e-12,-8.890631e-05,-7.156394e-13
2.200000e-12,-8.902835e-05,-7.062594e-13
2.300000e-12,-8.652635e-05,-6.052894e-13
2.400000e-12,-8.197217e-05,-4.002186e-13
2.500000e-12,-7.631587e-05,-9.742822e-14
2.600000e-12,-7.068916e-05,2.713226e-13
2.700000e-12,-6.618055e-05,6.494331e-13
2.800000e-12,-6.362618e-05,9.648716e-13
2.900000e-12,-6.345660e-05,1.146826e-12
3.000000e-12,-6.562685e-05,1.144920e-12
3.100000e-12,-6.964094e-05,9.451386e-13
3.200000e-12,-7.466276e-05,5.775858e-13
3.300000e-12,-7.968910e-05,1.135446e-13
3.400000e-12,-8.374931e-05,-3.481400e-13
3.500000e-12,-8.609190e-05,-7.031849e-13
3.600000e-12,-8.632237e-05,-8.684766e-13
3.700000e-12,-8.446738e-05,-8.073471e-13
3.800000e-12,-8.095528e-05,-5.463824e-13
3.900000e-12,-7.651992e-05,-1.769289e-13
4.000000e-12,-7.204874e-05,1.625231e-13
4.100000e-12,-6.840657e-05,3.213280e-13
4.200000e-12,-6.626969e-05,1.809713e-13
4.300000e-12,-6.600176e-05,-3.037618e-13
4.400000e-12,-6.759411e-05,-1.079420e-12
4.500000e-12,-7.067983e-05,-1.993003e-12
4.600000e-12,-7.461643e-05,-2.817698e-12
4.700000e-12,-7.861886e-05,-3.300747e-12
4.800000e-12,-8.191565e-05,-3.223922e-12
4.900000e-12,-8.389706e-05,-2.464097e-12
5.000000e-12,-8.422697e-05,-1.040086e-12
5.100000e-12,-8.289824e-05,8.675466e-13
5.200000e-12,-8.022290e-05,2.933551e-12
5.300000e-12,-7.676126e-05,4.744593e-12
5.400000e-12,-7.320595e-05,5.887560e-12
5.500000e-12,-7.024448e-05,6.050795e-12
5.600000e-12,-6.842753e-05,5.112288e-12
5.700000e-12,-6.806784e-05,3.189017e-12
5.800000e-12,-6.918822e-05,6.300455e-13
5.900000e-12,-7.152680e-05,-2.049610e-12
6.000000e-12,-7.459684e-05,-4.281471e-12
6.100000e-12,-7.778759e-05,-5.576962e-12
6.200000e-12,-8.048560e-05,-5.649879e-12
6.300000e-12,-8.219244e-05,-4.497297e-12
6.400000e-12,-8.261617e-05,-2.416301e-12
6.500000e-12,-8.172021e-05,5.245082e-14
6.600000e-12,-7.972157e-05,2.246285e-12
6.700000e-12,-7.704072e-05,3.541965e-12
6.800000e-12,-7.421438e-05,3.518991e-12
6.900000e-12,-7.178911e-05,2.082545e-12
7.000000e-12,-7.021678e-05,-4.889238e-13
7.100000e-12,-6.977155e-05,-3.588849e-12
7.200000e-12,-7.050354e-05,-6.414203e-12
7.300000e-12,-7.223680e-05,-8.154593e-12
7.400000e-12,-7.461041e-05,-8.194174e-12
7.500000e-12,-7.715351e-05,-6.277412e-12
7.600000e-12,-7.937872e-05,-2.597309e-12
7.700000e-12,-8.087552e-05,2.218200e-12
7.800000e-12,-8.138574e-05,7.223292e-12
7.900000e-12,-8.084741e-05,1.135271e-11
8.000000e-12,-7.939982e-05,1.365979e-11
8.100000e-12,-7.735019e-05,1.354041e-11
8.200000e-12,-7.510967e-05,1.088950e-11
8.300000e-12,-7.311190e-05,6.149201e-12
8.400000e-12,-7.173013e-05,2.320555e-13
8.500000e-12,-7.120857e-05,-5.668227e-12
8.600000e-12,-7.162053e-05,-1.033780e-11
8.700000e-12,-7.286027e-05,-1.281635e-11
8.800000e-12,-7.466901e-05,-1.261954e-11
8.900000e-12,-7.668903e-05,-9.857219e-12
9.000000e-12,-7.853463e-05,-5.217631e-12
9.100000e-12,-7.986599e-05,1.814827e-13
9.200000e-12,-8.045168e-05,5.043651e-12
9.300000e-12,-8.020866e-05,8.190962e-12
9.400000e-12,-7.921284e-05,8.840605e-12
9.500000e-12,-7.767929e-05,6.796372e-12
9.600000e-12,-7.591712e-05,2.508668e-12
9.700000e-12,-7.426811e-05,-3.014161e-12
9.800000e-12,-7.304149e-05,-8.426190e-12
9.900000e-12,-7.245698e-05,-1.234789e-11
1.000000e-11,-7.260657e-05,-1.368525e-11
1.010000e-11,-7.344155e-05,-1.189109e-11
1.020000e-11,-7.478639e-05,-7.108089e-12
1.030000e-11,-7.637588e-05,-1.594523e-13
1.040000e-11,-7.790782e-05,7.612453e-12
1.050000e-11,-7.910088e-05,1.462557e-11
1.060000e-11,-7.974646e-05,1.939540e-11
1.070000e-11,-7.974520e-05,2.085690e-11
1.080000e-11,-7.912180e-05,1.860094e-11
1.090000e-11,-7.801617e-05,1.297329e-11
1.100000e-11,-7.665342e-05,5.013475e-12
1.110000e-11,-7.529911e-05,-3.754730e-12
1.120000e-11,-7.420845e-05,-1.163737e-11
1.130000e-11,-7.357931e-05,-1.712236e-11
1.140000e-11,-7.351733e-05,-1.919452e-11
1.150000e-11,-7.401942e-05,-1.754625e-11
1.160000e-11,-7.497799e-05,-1.263912e-11
1.170000e-11,-7.620441e-05,-5.603167e-12
1.180000e-11,-7.746666e-05,2.004183e-12
1.190000e-11,-7.853378e-05,8.528454e-12
1.200000e-11,-7.921858e-05,1.256769e-11
1.210000e-11,-7.941073e-05,1.326785e-11
1.220000e-11,-7.909452e-05,1.050233e-11
1.230000e-11,-7.834855e-05,4.898609e-12
1.240000e-11,-7.732806e-05,-2.293082e-12
1.250000e-11,-7.623370e-05,-9.461274e-12
1.260000e-11,-7.527320e-05,-1.497051e-11
1.270000e-11,-7.462290e-05,-1.750448e-11
1.280000e-11,-7.439644e-05,-1.634432e-11
1.290000e-11,-7.462606e-05,-1.152510e-11
1.300000e-11,-7.525934e-05,-3.838614e-12
1.310000e-11,-7.617165e-05,5.317704e-12
1.320000e-11,-7.719140e-05,1.421473e-11
1.330000e-11,-7.813301e-05,2.113282e-11
1.340000e-11,-7.883125e-05,2.470167e-11
1.350000e-11,-7.917080e-05,2.417122e-11
1.360000e-11,-7.910555e-05,1.956067e-11
1.370000e-11,-7.866467e-05,1.165731e-11
1.380000e-11,-7.794477e-05,1.866538e-12
1.390000e-11,-7.709006e-05,-8.056547e-12
1.400000e-11,-7.626457e-05,-1.634121e-11
1.410000e-11,-7.562175e-05,-2.153613e-11
1.420000e-11,-7.527699e-05,-2.278126e-11
1.430000e-11,-7.528802e-05,-1.996518e-11
1.440000e-11,-7.564636e-05,-1.373881e-11
1.450000e-11,-7.628106e-05,-5.384368e-12
1.460000e-11,-7.707358e-05,3.434322e-12
1.470000e-11,-7.788076e-05,1.099151e-11
1.480000e-11,-7.856148e-05,1.582783e-11
1.490000e-11,-7.900200e-05,1.702513e-11
1.500000e-11,-7.913551e-05,1.437658e-11
1.510000e-11,-7.895256e-05,8.421415e-12
1.520000e-11,-7.850085e-05,3.392309e-13
1.530000e-11,-7.787474e-05,-8.274783e-12
1.540000e-11,-7.719683e-05,-1.571086e-11
1.550000e-11,-7.659508e-05,-2.046552e-11
1.560000e-11,-7.617979e-05,-2.152305e-11
1.570000e-11,-7.602448e-05,-1.854614e-11
1.580000e-11,-7.615400e-05,-1.194137e-11
1.590000e-11,-7.654172e-05,-2.788372e-12
1.600000e-11,-7.711594e-05,7.353662e-12
1.610000e-11,-7.777413e-05,1.672615e-11
1.620000e-11,-7.840216e-05,2.368658e-11
1.630000e-11,-7.889496e-05,2.700200e-11
1.640000e-11,-7.917477e-05,2.606799e-11
1.650000e-11,-7.920409e-05,2.101469e-11
1.660000e-11,-7.899089e-05,1.268211e-11
1.670000e-11,-7.858576e-05,2.470547e-12
1.680000e-11,-7.807153e-05,-7.906027e-12
